frame,type,x,y
50,PowerUp-SpeedUp,100,0
150,PowerUp-TripleShotPowerUp,250,0
200,Alien1,200,0
300,Alien1,300,0
400,Alien1,400,0
401,Alien1,450,0
402,Alien1,500,0
403,Alien1,550,0
500,Alien1,100,0
501,Alien1,150,0
502,Alien1,200,0
503,Alien1,350,0
600,Alien2,120,0
700,Alien2,220,0
800,Alien2,330,0
900,Alien2,440,0
1000,Alien1,80,0
1001,Alien1,160,0
1002,Alien1,240,0
1003,Alien1,320,0
1004,Alien1,400,0
1005,Alien1,480,0
1100,PowerUp-SpeedUp,200,0
1200,Alien2,100,0
1201,Alien2,300,0
1202,Alien2,500,0
1300,Alien1,50,0
1301,Alien1,150,0
1302,Alien1,250,0
1303,Alien1,350,0
1304,Alien1,450,0
1305,Alien1,550,0
1400,PowerUp-TripleShotPowerUp,300,0
1500,Alien2,180,0
1501,Alien2,360,0
1600,Alien1,100,0
1700,Alien1,200,0
1800,Alien1,300,0
1900,Alien2,150,0
2000,PowerUp-SpeedUp,400,0
2100,Alien1,75,0
2101,Alien1,175,0
2102,Alien1,275,0
2103,Alien1,375,0
2104,Alien1,475,0
2200,Alien2,125,0
2201,Alien2,325,0
2300,PowerUp-TripleShotPowerUp,250,0
2400,Alien1,50,0
2500,Alien2,200,0
2600,Alien1,350,0
2700,Alien2,450,0
2800,PowerUp-SpeedUp,300,0
2900,Alien1,100,0
3000,Alien2,250,0
3100,Alien1,400,0
3200,PowerUp-TripleShotPowerUp,150,0
3300,Alien2,300,0
3400,Alien1,500,0
3500,PowerUp-SpeedUp,200,0
3600,Alien2,350,0
3700,Alien1,100,0
3800,Alien2,400,0
3900,PowerUp-TripleShotPowerUp,250,0
4000,Alien1,150,0
4100,Alien2,300,0
4200,Alien1,450,0
4300,PowerUp-SpeedUp,350,0
4400,Alien2,200,0
4500,Alien1,500,0
4600,PowerUp-TripleShotPowerUp,100,0
4700,Alien2,250,0
4800,Alien1,400,0
4900,PowerUp-SpeedUp,300,0
5000,Alien2,150,0
5100,Alien1,350,0
5200,PowerUp-TripleShotPowerUp,200,0
5300,Alien2,450,0
5400,Alien1,100,0
5500,PowerUp-SpeedUp,300,0
5600,Alien2,200,0
5700,Alien1,400,0
5800,PowerUp-TripleShotPowerUp,250,0
5900,Alien2,350,0
6000,Alien1,150,0
6100,PowerUp-SpeedUp,400,0
6200,Alien2,100,0
6300,Alien1,300,0
6400,PowerUp-TripleShotPowerUp,200,0
6500,Alien2,450,0
6600,Alien1,250,0
6700,PowerUp-SpeedUp,350,0
6800,Alien2,150,0
6900,Alien1,400,0
7000,PowerUp-TripleShotPowerUp,300,0
7100,Alien2,200,0
7200,Alien1,450,0
7300,PowerUp-SpeedUp,100,0
7400,Alien2,350,0
7500,Alien1,250,0
7600,PowerUp-TripleShotPowerUp,400,0
7700,Alien2,150,0
7800,Alien1,300,0
7900,PowerUp-SpeedUp,250,0
8000,Alien2,400,0
8100,Alien1,200,0
8200,PowerUp-TripleShotPowerUp,350,0
8300,Alien2,100,0
8400,Alien1,450,0
8500,PowerUp-SpeedUp,300,0
8600,Alien2,250,0
8700,Alien1,150,0
8800,PowerUp-TripleShotPowerUp,400,0
8900,Alien2,350,0
9000,Alien1,200,0
9100,PowerUp-SpeedUp,150,0
9200,Alien2,450,0
9300,Alien1,300,0
9400,PowerUp-TripleShotPowerUp,250,0
9500,Alien2,100,0
9600,Alien1,400,0
9700,PowerUp-SpeedUp,350,0
9800,Alien2,200,0
9900,Alien1,450,0
10000,PowerUp-TripleShotPowerUp,300,0
10100,Alien2,150,0
10200,Alien1,350,0
10300,PowerUp-SpeedUp,250,0
10400,Alien2,400,0
10500,Alien1,100,0
10600,PowerUp-TripleShotPowerUp,450,0
10700,Alien2,300,0
10800,Alien1,200,0
10900,PowerUp-SpeedUp,350,0
11000,Alien2,250,0
11100,Alien1,450,0
11200,PowerUp-TripleShotPowerUp,150,0
11300,Alien2,400,0
11400,Alien1,300,0
11500,PowerUp-SpeedUp,200,0
11600,Alien2,350,0
11700,Alien1,100,0
11800,PowerUp-TripleShotPowerUp,450,0
11900,Alien2,250,0
12000,Alien1,400,0
12100,PowerUp-SpeedUp,300,0
12200,Alien2,150,0
12300,Alien1,350,0
12400,PowerUp-TripleShotPowerUp,200,0
12500,Alien2,450,0
12600,Alien1,250,0
12700,PowerUp-SpeedUp,400,0
12800,Alien2,100,0
12900,Alien1,350,0
13000,PowerUp-TripleShotPowerUp,250,0
13100,Alien2,300,0
13200,Alien1,150,0
13300,PowerUp-SpeedUp,450,0
13400,Alien2,200,0
13500,Alien1,400,0
13600,PowerUp-TripleShotPowerUp,350,0
13700,Alien2,100,0
13800,Alien1,300,0
13900,PowerUp-SpeedUp,250,0
14000,Alien2,450,0
14100,Alien1,200,0
14200,PowerUp-TripleShotPowerUp,400,0
14300,Alien2,350,0
14400,Alien1,150,0
14500,PowerUp-SpeedUp,300,0
14600,Alien2,250,0
14700,Alien1,450,0
14800,PowerUp-TripleShotPowerUp,100,0
14900,Alien2,400,0
15000,Alien1,350,0
15100,PowerUp-SpeedUp,200,0
15200,Alien2,150,0
15300,Alien1,300,0
15400,PowerUp-TripleShotPowerUp,450,0
15500,Alien2,250,0
15600,Alien1,100,0
15700,PowerUp-SpeedUp,400,0
15800,Alien2,350,0
15900,Alien1,200,0
16000,PowerUp-TripleShotPowerUp,300,0
16100,Alien2,450,0
16200,Alien1,250,0
16300,PowerUp-SpeedUp,150,0
16400,Alien2,400,0
16500,Alien1,350,0
16600,PowerUp-TripleShotPowerUp,200,0
16700,Alien2,100,0
16800,Alien1,450,0
16900,PowerUp-SpeedUp,350,0
17000,Alien2,300,0
17100,Alien1,150,0
17200,PowerUp-TripleShotPowerUp,450,0
17300,Alien2,250,0
17400,Alien1,400,0
17500,PowerUp-SpeedUp,200,0
17600,Alien2,350,0
17700,Alien1,100,0
17800,PowerUp-TripleShotPowerUp,300,0
17900,Alien2,450,0
18000,Alien1,250,0
